Age,Gender,family_income,parent_education_level,School,Level,100_level_cgpa,current_cgpa,MATH 101,MATH 102,COSC 111,PHY101,PHY102,classAttendance,Assignment_score,Assignment_performance,class_participation,"Rate your attendance to classes
",Rate your overall performance.,Do you have health issues that affect your studies,Education motivation level,study_hours,study_preference,Internet_access,time_management_skills,Peer  influence on student perfromance, course_material,Hall_distance,Extracurricular activity
17.8,,,,,,5,,B,C,B,C,A,10,5,10,,10,,,,20,Self-study,,,3,2,1 km - 2km,Yes
17,Female,"Greater than 70,000,000 per annum",Postgraduate,Computing,400,4.5,4,B,A,A,A,A,10,5,10,4,8,High,No,High,< 40 hours,Self-study,Yes,Average,10,3,1 km,Yes
18,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,5,5,A,A,B,A,A,9,5,9,9,9,High,No,High,< 40 hours,Self-study,Yes,Average,1,5,Less than 1 km,No
18,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,200,4,4,B,A,A,A,B,7,4,8,6,7,Medium,No,Medium,< 40 hours,Self-study,Yes,Average,8,4,Less than 1 km,Yes
17,Male,"30,000,000-50,000,000 naira per annum",Postgraduate,Computing,200,4.5,4.5,A,A,A,A,B,7,4,8,2,7,Low,No,Medium,< 40 hours,Self-study,Yes,Poor,10,4,1 km,Yes
19,Male,"< 30,000,000 naira/yesr",Bachelor's,Computing,300,4,4,B,A,B,C,B,7,3,7,5,8,Medium,No,Medium,< 40 hours,Self-study,Yes,Average,6,4,2 km,Yes
17,Female,"Greater than 70,000,000 per annum",Postgraduate,Public Health,200,4.5,4.5,B,B,B,A,B,10,4,10,10,10,High,No,Medium,50,Self-study,Yes,Average,8,5,2 km,Yes
18,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,3.35,3.35,B,B,B,B,B,9,3,9,2,9,Medium,Yes,Low,< 40 hours,Self-study,Yes,Average,4,2,1 km,Yes
21,Female,"< 30,000,000 naira/yesr",Secondary school,Computing,400,3.35,4,B,B,B,C,C,10,5,10,10,10,High,Yes,High,< 40 hours,Group Study,Yes,Poor,10,3,10km,Yes
20,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,4,4,B,B,A,B,B,7,4,7,7,7,High,No,Medium,< 40 hours,Self-study,Yes,Average,7,3,Less than 1 km,No
20,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,4,4,B,B,B,B,B,9,4,9,7,9,High,No,Medium,< 40 hours,Self-study,Yes,Average,5,4,2 km,No
21,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,,4,4,B,A,B,B,B,10,5,10,8,10,High,No,Medium,< 40 hours,Self-study,Yes,Average,3,4,2 km,No
18,Female,"< 30,000,000 naira/yesr",Postgraduate,Ben Carson College of Medical Sciences,200,4.5,4.5,A,A,B,A,A,10,5,8,8,10,High,No,High,< 40 hours,Self-study,No,Average,8,4,1 km,Yes
20,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,300,5,5,A,A,A,A,A,10,4,9,3,10,High,No,High,< 40 hours,Self-study,Yes,Average,1,5,2 km,No
19,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,400,4,4.5,B,B,B,C,C,10,4,8,6,10,Medium,No,High,< 40 hours,Self-study,Yes,Average,8,4,Less than 1 km,No
20,Male,"Greater than 70,000,000 per annum",Bachelor's,Computing,400,4,4,B,B,A,B,B,10,4,9,,10,Medium,Yes,Medium,< 40 hours,Self-study,No,Average,7,4,10km,Yes
19,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,400,4,4,B,B,C,B,B,10,4,8,7,10,Medium,No,Medium,< 40 hours,Self-study,No,Average,2,4,Less than 1 km,No
19,Female,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,400,3.35,4,C,B,B,B,B,8,3,8,4,8,Medium,Yes,Medium,< 40 hours,Self-study,Yes,Poor,5,3,I don?? know ,Yes
21,Male,"50,000,000-70,000,000 naira per annum",Postgraduate,Computing,400,4,4,B,B,B,C,C,8,5,10,5,8,Medium,No,Medium,< 40 hours,Self-study,Yes,Average,10,4,1 km,Yes
22,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,3.35,3.35,B,C,A,A,B,10,4,10,3,10,Medium,Yes,Medium,< 40 hours,Self-study,No,Average,7,4,1 km,No
21,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,3.35,4,B,B,B,B,B,8,4,8,5,9,Medium,No,Medium,< 40 hours,Group Study,Yes,Average,5,3,Less than 1 km,Yes
18,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,200,4,4,A,B,C,A,A,10,4,9,8,10,High,No,Medium,< 40 hours,Group Study,No,Average,8,5,Less than 1 km,No
21,Female,"< 30,000,000 naira/yesr",Secondary school,Computing,400,4,4,B,B,B,C,B,9,3,7,5,9,Medium,No,Medium,3,Self-study,No,Average,1,3,2 km,Yes
19,Female,"Greater than 70,000,000 per annum",Postgraduate,Computing,300,4.5,5,A,A,A,B,B,7,4,7,5,7,High,No,High,< 40 hours,Self-study,Yes,Average,5,5,Less than 1 km,Yes
23,Female,"< 30,000,000 naira/yesr",Bachelor's,Public Health,,4,4.5,C,B,C,C,B,10,5,9,10,10,High,No,,< 40 hours,Self-study,No,Good,9,5,2 km,Yes
19,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,400,4,4,A,A,A,A,B,5,4,7,7,7,Medium,No,Medium,< 40 hours,Self-study,Yes,Average,1,5,Less than 1 km,Yes
19,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,4,4,B,C,C,B,B,8,4,9,7,8,High,Yes,Medium,< 40 hours,Self-study,Yes,Poor,5,4,2 km,No
18,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,200,4.5,4.5,A,A,B,B,A,10,4,10,7,10,High,No,High,< 40 hours,Self-study,Yes,Average,8,4,2 km,Yes
17,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,200,4.5,4.5,A,A,A,A,B,10,5,10,8,10,High,No,Medium,< 40 hours,Self-study,Yes,Average,8,4,2 km,No
17,Female,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,200,4,4,A,A,B,B,A,10,5,10,4,10,Medium,No,High,< 40 hours,Self-study,No,Average,1,4,2 km,No
18,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,200,4.5,4.5,A,A,A,A,B,9,4,7,8,9,High,No,Medium,< 40 hours,Self-study,Yes,Average,3,,Less than 1 km,No
19,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,3.35,3.35,B,B,B,B,B,8,5,8,8,8,Medium,Yes,Medium,< 40 hours,Self-study,Yes,Average,5,4,Less than 1 km,Yes
18,Female,"< 30,000,000 naira/yesr",Bachelor's,Nursing Science,200,3,3,C,B,C,C,C,7,4,7,7,7,Medium,No,Medium,< 40 hours,One-on-One tutoring,Yes,Average,4,4,1 km,Yes
18,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,4.5,4.5,A,B,A,A,B,10,5,8,1,10,High,No,Medium,50,Self-study,No,Average,7,4,1 km,No
18,Female,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,5,5,A,A,A,A,B,10,4,9,9,10,High,No,Medium,< 40 hours,Group Study,Yes,Average,6,5,Less than 1 km,Yes
18,Male,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,4.5,4.5,A,A,B,A,A,10,5,8,10,10,High,No,High,< 40 hours,Self-study,No,Good,10,3,Off campus ,Yes
18,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,200,4.5,5,A,A,A,A,B,10,4,,9,8,High,No,Medium,< 40 hours,Group Study,Yes,Average,7,4,Less than 1 km,No
22,Male,"< 30,000,000 naira/yesr",Below secondsry school,Computing,300,4,4,C,B,A,B,B,9,4,10,8,9,Medium,No,Medium,20,Group Study,Yes,Average,8,4,Less than 1 km,No
19,Male,"30,000,000-50,000,000 naira per annum",Postgraduate,Computing,300,4,4,B,B,A,B,B,9,4,8,7,9,Medium,No,Medium,< 40 hours,Self-study,No,Good,8,4,2 km,No
19,Female,"Greater than 70,000,000 per annum",Postgraduate,Computing,400,3.35,4,C,C,C,C,C,8,5,10,5,8,Medium,No,Low,< 40 hours,Self-study,No,Average,8,3,2 km,Yes
18,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,200,4,4,B,A,B,B,B,9,3,7,3,9,Medium,No,Medium,< 40 hours,One-on-One tutoring,Yes,Poor,7,3,2 km,Yes
18,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,4.5,4.5,A,A,A,A,B,9,4,9,8,9,High,No,High,50,Self-study,No,Average,8,4,1 km,No
20,Female,"50,000,000-70,000,000 naira per annum",Bachelor's,Computing,500,4,4.5,B,B,B,B,A,10,5,10,8,10,High,No,High,< 40 hours,Self-study,No,Good,9,4,Less than 1 km,No
20,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,500,4.5,4,B,A,B,A,A,8,4,9,7,7,High,Yes,Low,< 40 hours,Group Study,Yes,Poor,7,4,2 km,No
17,Male,"< 30,000,000 naira/yesr",Bachelor's,Computing,200,4,4,B,A,B,B,B,10,4,9,4,10,Medium,No,Medium,None,Self-study,Yes,Poor,5,4,Less than 1 km,Yes
20,Male,"50,000,000-70,000,000 naira per annum",Bachelor's,Computing,200,4.5,4.5,A,A,B,A,A,4,2,4,2,3,High,No,Medium,< 40 hours,Self-study,Yes,Average,10,5,1 km,No
18,Female,,Postgraduate,Computing,300,4.5,4.5,A,B,A,A,A,9,4,9,7,9,High,No,Medium,50,Self-study,No,Average,7,3,2 km,Yes
19,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,4.5,4,B,A,A,A,B,8,4,8,9,8,High,No,Low,< 40 hours,Self-study,Yes,Average,6,4,1 km,Yes
19,Male,"< 30,000,000 naira/yesr",Bachelor's,Computing,200,4,4,B,B,B,B,B,9,4,8,8,9,High,No,High,< 40 hours,Group Study,No,Average,8,4,Less than 1 km,Yes
17,Female,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,200,5,5,A,A,A,A,A,9,4,8,9,9,High,Yes,Medium,< 40 hours,Self-study,Yes,Average,5,3,Less than 1 km,Yes
18,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,200,4.5,4.5,A,A,A,A,A,9,4,9,9,9,High,No,High,I dont actually know,Group Study,Yes,Average,9,3,Too far. Like its to far ?? ,No
18,Male,"< 30,000,000 naira/yesr",Bachelor's,Computing,300,4,4.5,A,A,B,A,B,9,4,8,5,9,High,No,High,< 40 hours,Self-study,Yes,Average,8,3,Less than 1 km,Yes
20,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,400,4,4,A,A,C,B,C,8,4,7,6,8,Medium,No,Medium,< 40 hours,Group Study,No,Average,5,4,Less than 1 km,Yes
18,Female,"< 30,000,000 naira/yesr",Bachelor's,Nursing Science,200,4,4,B,B,B,C,C,10,4,9,9,10,High,No,Medium,< 40 hours,Self-study,No,Average,4,4,1 km,No
25,Female,"50,000,000-70,000,000 naira per annum",Bachelor's,Public Health,300,3.35,3.35,B,B,B,B,C,9,4,,10,10,High,Yes,High,60,Self-study,No,Average,8,5,2 km,Yes
19,Female,"30,000,000-50,000,000 naira per annum",Postgraduate,Computing,400,4,4.5,B,A,B,B,A,10,5,10,7,10,High,No,High,,One-on-One tutoring,Yes,Good,9,3,1 km,No
20,Female,"Greater than 70,000,000 per annum",Bachelor's,Nursing Science,500,4.5,4.5,B,B,B,A,A,10,5,10,10,10,High,No,High,50,Self-study,No,Good,2,5,2 km,No
34,Female,"< 30,000,000 naira/yesr",Postgraduate,Engineering,400,3.35,3.35,C,B,C,B,B,10,4,10,7,10,High,No,Medium,< 40 hours,Group Study,No,Average,5,5,2 km,Yes
21,Female,"30,000,000-50,000,000 naira per annum",,Public Health,400,4,4,B,B,B,C,C,10,5,9,10,10,High,No,High,50,Self-study,No,Average,4,4,2 km,Yes
18,Female,"< 30,000,000 naira/yesr",Postgraduate,,300,4,4,A,B,B,B,B,9,4,9,7,9,High,No,High,< 40 hours,Self-study,No,Average,1,3,2 km,No
18,Female,,Bachelor's,Computing,300,4,4,A,A,B,A,A,10,5,10,10,10,High,No,High,,Self-study,No,Good,5,4,2 km,
19,Female,"30,000,000-50,000,000 naira per annum",Postgraduate,Computing,400,5,5,B,A,A,A,A,9,4,8,8,9,High,No,High,< 40 hours,Self-study,Yes,Good,3,5,Less than 1 km,Yes
17,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,200,5,4.5,A,A,A,A,A,8,4,9,7,8,High,No,Medium,< 40 hours,Self-study,Yes,Average,2,4,2 km,Yes
18,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,4,4.5,B,A,A,B,E,7,4,9,8,8,High,No,Medium,< 40 hours,Self-study,Yes,Average,7,4,Less than 1 km,Yes
18,Male,"< 30,000,000 naira/yesr",Bachelor's,Computing,200,4.5,4.5,A,A,B,A,B,7,4,8,8,6,High,No,Medium,< 40 hours,Online Courses,Yes,Average,10,4,1 km,No
18,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,400,4,4,B,B,B,A,B,9,5,10,10,9,High,Yes,High,< 40 hours,Self-study,Yes,Good,6,5,1 km,Yes
19,Male,"< 30,000,000 naira/yesr",Secondary school,Engineering,300,4.5,4,A,A,B,A,A,6,3,7,5,6,Medium,No,Medium,< 40 hours,Self-study,No,Average,2,4,20 Minutes Walk,No
18,Female,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,4,4.5,A,A,A,B,B,10,4,9,8,9,High,Yes,High,50,Online Courses,Yes,Average,9,4,Less than 1 km,Yes
19,Male,"< 30,000,000 naira/yesr",Postgraduate,Computing,300,4,4,B,B,A,B,A,8,4,3,4,1,Low,No,Low,< 40 hours,One-on-One tutoring,Yes,Poor,5,3,2 km,
22,Female,"50,000,000-70,000,000 naira per annum",Postgraduate,Public Health,400,4.5,4.5,A,A,A,A,A,10,5,10,10,10,High,No,High,60,Self-study,No,Good,5,5,Less than 1 km,No
24,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,400,4,4,A,B,B,B,C,10,5,10,10,10,High,No,High,60,Self-study,Yes,Good,2,5,Less than 1 km,Yes
23,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,4,4,B,B,B,B,C,10,5,10,9,10,High,No,High,60,Self-study,Yes,Good,2,5,Less than 1 km,Yes
21,Male,"Greater than 70,000,000 per annum",Bachelor's,Computing,400,4,4,B,B,C,B,C,8,3,6,4,8,Medium,No,Medium,< 40 hours,Self-study,Yes,Poor,8,3,1 km,Yes
24,Male,"Greater than 70,000,000 per annum",Postgraduate,Computing,300,4.5,4.5,A,A,A,A,A,9,5,10,10,10,High,No,High,Depends ,Self-study,No,Average,1,4,2 km,No
17,Female,"Greater than 70,000,000 per annum",Bachelor's,Computing,200,4,4,B,C,B,B,C,9,4,8,5,8,Medium,No,Medium,< 40 hours,Self-study,Yes,Poor,6,3,2 km,
16,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,200,4.5,4,C,B,A,A,B,8,5,10,10,10,High,Yes,Low,< 40 hours,Self-study,Yes,Poor,7,4,,Yes
19,Male,,Postgraduate,Computing,400,4,4,B,B,A,B,B,1,1,1,3,1,High,No,Low,< 40 hours,Self-study,Yes,Good,1,1,1 km,Yes
21,Female,"Greater than 70,000,000 per annum",Bachelor's,Computing,200,4,4,C,B,B,B,B,8,5,10,7,8,Medium,No,Medium,20,Self-study,No,Average,1,4,Less than 1 km,No
19,Female,"30,000,000-50,000,000 naira per annum",Postgraduate,Computing,400,4,4,B,B,B,B,B,7,4,8,6,8,Medium,Yes,Medium,< 40 hours,Self-study,Yes,Average,7,5,Less than 1 km,Yes
19,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,400,4,4,B,B,B,B,B,8,4,9,4,9,High,No,Medium,< 40 hours,Self-study,Yes,Average,7,4,,No
22,Male,"50,000,000-70,000,000 naira per annum",Bachelor's,Computing,400,3.35,3.35,B,B,B,A,B,9,4,8,7,8,Medium,No,Medium,< 40 hours,Self-study,No,Average,6,4,10km??,No
21,Male,,Bachelor's,Computing,400,4,4,A,A,B,B,C,9,3,7,1,9,Medium,No,Medium,< 40 hours,Self-study,Yes,Average,7,2,Less than 1 km,No
20,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,4,4,A,A,A,B,B,10,5,10,6,10,High,Yes,Medium,< 40 hours,Group Study,Yes,Average,7,5,2 km,Yes
21,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,4.5,4.5,A,B,B,B,B,10,5,10,10,10,High,Yes,High,< 40 hours,Self-study,Yes,Poor,10,5,10km,Yes
20,Female,"< 30,000,000 naira/yesr",Bachelor's,Public Health,500,3,4,B,C,C,B,B,8,4,7,7,8,Medium,Yes,Medium,20,Self-study,No,Average,5,3,Less than 1 km,Yes
22,Female,"50,000,000-70,000,000 naira per annum",Postgraduate,,500,3.35,4,C,B,B,C,B,8,4,8,6,7,High,No,High,10,Self-study,No,Average,6,4,1 km,Yes
19,Female,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,3.35,4.5,A,A,B,A,A,9,4,9,8,9,Medium,No,Medium,20,Self-study,Yes,Average,5,2,1 km,Yes
18,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,3.35,4,B,B,B,B,C,6,4,7,8,8,High,No,High,10,Self-study,No,Good,1,4,2 km,Yes
21,Male,"Greater than 70,000,000 per annum",Bachelor's,Computing,400,4,4,B,B,C,B,C,8,3,6,4,8,Medium,No,Medium,< 40 hours,Self-study,Yes,Poor,8,3,1 km,Yes
24,Male,"Greater than 70,000,000 per annum",Postgraduate,Computing,300,4.5,4.5,A,A,A,A,A,9,5,10,10,10,High,No,High,Depends ,Self-study,No,Average,1,4,2 km,No
17,Female,"Greater than 70,000,000 per annum",Bachelor's,Computing,200,4,4,B,C,B,B,C,9,4,8,5,8,Medium,No,Medium,< 40 hours,Self-study,Yes,Poor,6,3,2 km,
16,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,200,2.4,3,C,B,A,A,B,8,5,10,10,10,Medium,Yes,Low,< 40 hours,Self-study,Yes,Poor,7,4,,Yes
19,Male,,Postgraduate,Computing,400,3.1,2.6,B,B,A,B,B,1,1,1,1,1,Low,No,Low,< 40 hours,Self-study,Yes,Good,1,1,1 km,Yes
21,Female,"Greater than 70,000,000 per annum",Bachelor's,Computing,200,2.4,2.8,C,B,B,B,B,2,2,2,2,2,Low,No,Medium,20,Self-study,No,Average,2,2,Less than 1 km,No
19,Female,"30,000,000-50,000,000 naira per annum",Postgraduate,Computing,400,2.6,3,B,B,B,B,B,3,3,3,3,3,Medium,Yes,Medium,< 40 hours,Self-study,Yes,Average,3,3,Less than 1 km,Yes
19,Female,"< 30,000,000 naira/yesr",Postgraduate,Computing,400,3.1,2.9,B,B,B,B,B,4,4,4,4,4,Low,No,Medium,< 40 hours,Self-study,Yes,Average,4,4,,No
22,Male,"50,000,000-70,000,000 naira per annum",Bachelor's,Computing,400,3.35,3.1,B,B,B,A,B,5,5,5,5,5,Medium,No,Medium,< 40 hours,Self-study,No,Average,5,5,10km??,No
21,Male,,Bachelor's,Computing,400,2.8,2.4,A,A,B,B,C,2,2,2,2,2,Low,No,Medium,< 40 hours,Self-study,Yes,Average,2,2,Less than 1 km,No
20,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,2.5,2.6,A,A,A,B,B,1,1,1,1,1,Low,Yes,Medium,< 40 hours,Group Study,Yes,Average,1,1,2 km,Yes
21,Female,"< 30,000,000 naira/yesr",Bachelor's,Computing,400,2.6,3.1,A,B,B,B,B,2,2,2,2,2,Medium,Yes,High,< 40 hours,Self-study,Yes,Average,2,2,10km,Yes
20,Female,"< 30,000,000 naira/yesr",Bachelor's,Public Health,500,2.3,2.2,B,C,C,B,B,3,3,3,3,3,Low,Yes,Medium,20,Self-study,No,Average,3,3,Less than 1 km,Yes
22,Female,"50,000,000-70,000,000 naira per annum",Postgraduate,,500,2.0 ,2.4,C,B,B,C,B,4,4,4,4,4,Low,No,Low,10,Self-study,No,Average,4,4,1 km,Yes
19,Female,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,2.5,2.3,A,A,B,A,A,5,5,5,5,5,Low,No,Medium,20,Self-study,Yes,Poor,5,5,1 km,Yes
18,Male,"30,000,000-50,000,000 naira per annum",Bachelor's,Computing,300,3.0 ,2.6,B,B,B,B,C,2,2,2,2,2,Low,No,Low,10,Self-study,No,Poor,2,2,2 km,Yes
